 Height,Alarm Call Type
20,A
39,A
39,A
39,A
39,A
39,A
39,A
39,A
41,A
59,A
102,A
102,A
102,A
102,A
80,A
80,A
75,A
75,A
75,A
31,A
56,A
56,A
37,A
37,A
78,A
78,A
73,A
73,A
73,A
73,A
100,A
100,A
100,A
100,A
100,A
70,A
70,A
70,A
70,A
70,A
70,A
70,A
70,A
70,A
70,A
43,A
43,A
43,A
43,A
43,A
43,A
43,A
43,A
43,A
32,A
32,A
74,A
74,A
74,A
74,A
32,A
32,A
22,A
22,A
22,A
5,A
5,A
82,A
82,A
86,A
74,A
74,A
15,A
15,A
42,A
42,A
34,A
34,A
34,A
34,A
105,A
105,A
105,A
105,A
105,A
105,A
105,A
66,A
89,A
89,A
33,A
27,A
27,A
27,A
27,A
27,A
27,A
27,A
27,A
27,A
21,A
70,A
34,A
38,A
28,A
44,A
44,A
78,A
78,A
78,A
104,A
76,A
76,A
76,A
76,A
76,A
76,A
76,A
76,A
70,A
60,A
60,A
34,A
34,A
34,A
34,A
34,A
34,A
34,A
34,A
26,A
26,A
26,A
26,A
81,A
81,A
30,A
30,A
30,A
48,A
40,A
40,A
40,A
40,A
27,A
27,A
33,B
33,B
33,B
58,B
45,B
45,B
45,B
45,B
45,B
45,B
45,B
45,B
63,B
63,B
63,B
63,B
63,B
63,B
63,B
63,B
70,B
70,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
20,B
59,B
59,B
59,B
59,B
59,B
57,B
57,B
57,B
57,B
57,B
47,B
47,B
47,B
47,B
23,B
23,B
23,B
23,B
23,B
23,B
23,B
23,B
23,B
39,B
39,B
41,B
41,B
41,B
41,B
41,B
41,B
41,B
41,B
41,B
66,B
102,B
75,B
26,B
26,B
26,B
26,B
26,B
68,B
68,B
31,B
31,B
31,B
31,B
31,B
31,B
31,B
31,B
59,B
56,B
56,B
72,B
72,B
75,B
75,B
52,B
52,B
52,B
52,B
52,B
35,B
30,B
30,B
42,B
75,B
68,B
51,B
51,B
47,B
47,B
47,B
47,B
47,B
47,B
44,B
37,B
37,B
45,B
45,B
100,B
80,B
80,B
80,B
72,B
44,B
44,B
44,B
44,B
38,B
38,B
65,B
27,B
16,B
24,B
24,B
20,B
20,B
30,B
30,B
30,B
30,B
30,B
30,B
78,B
78,B
78,B
64,B
16,B
16,B
16,B
52,B
52,B
69,B
33,B
31,B
31,B
11,B
11,B
11,B
11,B
11,B
11,B
11,B
11,B
70,B
33,B
33,B
100,B
100,B
100,B
100,B
100,B
100,B
70,B
70,B
43,B
43,B
43,B
43,B
43,B
43,B
43,B
32,B
32,B
32,B
32,B
32,B
22,B
5,B
5,B
5,B
5,B
5,B
86,B
82,B
46,B
35,B
35,B
35,B
35,B
35,B
35,B
35,B
35,B
35,B
35,B
35,B
35,B
34,B
34,B
34,B
34,B
34,B
34,B
26,B
82,B
82,B
86,B
86,B
74,B
74,B
74,B
74,B
74,B
49,B
27,B
27,B
27,B
27,B
15,B
15,B
15,B
15,B
15,B
15,B
15,B
11,B
11,B
101,B
101,B
101,B
101,B
84,B
84,B
84,B
84,B
19,B
19,B
19,B
19,B
60,B
60,B
60,B
48,B
42,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
37,B
37,B
33,B
44,B
44,B
44,B
27,B
27,B
27,B
27,B
27,B
27,B
27,B
27,B
27,B
27,B
27,B
21,B
21,B
53,B
53,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
38,B
38,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
28,B
68,B
68,B
68,B
68,B
55,B
8,B
8,B
8,B
44,B
44,B
44,B
44,B
44,B
44,B
44,B
78,B
78,B
78,B
78,B
76,B
76,B
76,B
60,B
60,B
60,B
46,B
46,B
46,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
34,B
26,B
26,B
26,B
26,B
26,B
26,B
26,B
26,B
47,B
47,B
47,B
81,B
55,B
55,B
55,B
55,B
55,B
55,B
55,B
32,B
32,B
32,B
32,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
19,B
67,B
67,B
48,B
48,B
48,B
48,B
48,B
48,B
40,B
40,B
40,B
40,B
40,B
40,B
40,B
27,B
27,B
27,B
27,B
27,B
27,B
27,B
68,A
68,A
68,A
68,A
68,A
68,A
68,A
68,A
68,A
68,A
68,A
68,A
68,A
39,A
39,A
68,B
68,B
68,B
68,B
68,B
68,B
41,B
41,B
41,B
41,B
41,B
41,B
39,B
39,B
39,B
39,B
17,B
17,B
17,B
17,B
17,B
